parameter_name,date_local,units_of_measure,arithmetic_mean,cbsa_name
Benzene,2005,Parts per billion Carbon,1.35147,Detroit-Warren-Dearborn MI
Manganese (TSP) STP,1996,Micrograms/cubic meter (25 C),0,Georgetown SC
Chromium (TSP) STP,1995,Micrograms/cubic meter (25 C),0,St. Louis MO-IL
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Weirton-Steubenville WV-OH
Benzene,2014,Parts per billion Carbon,2.158182,Houston-The Woodlands-Sugar Land TX
Cadmium (TSP) STP,2002,Micrograms/cubic meter (25 C),0,Charlotte-Concord-Gastonia NC-SC
Nickel (TSP) STP,1991,Micrograms/cubic meter (25 C),0,Kansas City MO-KS
Beryllium (TSP) STP,1991,Nanograms/cubic meter (25 C),0,San Diego-Carlsbad CA
13-Butadiene,2008,Parts per billion Carbon,0.17,Orlando-Kissimmee-Sanford FL
Beryllium (TSP) STP,1993,Nanograms/cubic meter (25 C),0,
cis-13-Dichloropropene,2015,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0.003,Birmingham-Hoover AL
Nickel PM2.5 LC,2005,Micrograms/cubic meter (LC),0.003,New York-Newark-Jersey City NY-NJ-PA
Cadmium PM10 STP,2009,Nanograms/cubic meter (25 C),0.05,Portland-Vancouver-Hillsboro OR-WA
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Louisville/Jefferson County KY-IN
Vinyl chloride,1992,Parts per billion Carbon,0,San Jose-Sunnyvale-Santa Clara CA
1122-Tetrachloroethane,2007,Parts per billion Carbon,0,Providence-Warwick RI-MA
Carbon tetrachloride,2000,Parts per billion Carbon,0.1,Laredo TX
13-Butadiene,2010,Parts per billion Carbon,0.022727,Dallas-Fort Worth-Arlington TX
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Boston-Cambridge-Newton MA-NH
Acrolein - Unverified,2014,Parts per billion Carbon,0.2,Buffalo-Cheektowaga-Niagara Falls NY
Lead PM2.5 LC,2008,Micrograms/cubic meter (LC),0.0447,Birmingham-Hoover AL
Benzene,2016,Parts per billion Carbon,0.07875,Portland-South Portland ME
Ethylene dibromide,2015,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,La Grande OR
Arsenic (TSP) STP,1993,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Nickel PM10 STP,1992,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
Arsenic (TSP) STP,2009,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Vineyard Haven MA
Dichloromethane,2003,Parts per billion Carbon,0.01,Beaumont-Port Arthur TX
Nickel (TSP) STP,1999,Micrograms/cubic meter (25 C),0.001,San Diego-Carlsbad CA
Cadmium PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Fresno CA
Lead PM2.5 LC,2002,Micrograms/cubic meter (LC),0.006,Lancaster PA
Beryllium PM10 STP,2007,Nanograms/cubic meter (25 C),0,Tampa-St. Petersburg-Clearwater FL
Trichloroethylene,1991,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2002,Micrograms/cubic meter (LC),0,Lawton OK
trans-13-Dichloropropene,2012,Parts per billion Carbon,0,Sioux Falls SD
trans-13-Dichloropropene,2014,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Chromium (TSP) STP,2006,Micrograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Arsenic PM2.5 LC,2010,Micrograms/cubic meter (LC),0,Anchorage AK
Trichloroethylene,1993,Parts per billion Carbon,0.02,San Diego-Carlsbad CA
cis-13-Dichloropropene,2016,Parts per billion Carbon,0,Providence-Warwick RI-MA
Arsenic (TSP) STP,2000,Micrograms/cubic meter (25 C),0,
trans-13-Dichloropropene,2007,Parts per billion Carbon,0,Beaver Dam WI
Arsenic PM2.5 LC,2009,Micrograms/cubic meter (LC),0.002,Charleston-North Charleston SC
Beryllium (TSP) STP,2012,Nanograms/cubic meter (25 C),0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,1998,Micrograms/cubic meter (LC),0,Idaho Falls ID
Dichloromethane,2009,Parts per billion Carbon,0.072,Tampa-St. Petersburg-Clearwater FL
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
Trichloroethylene,2003,Parts per billion Carbon,0,Boston-Cambridge-Newton MA-NH
cis-13-Dichloropropene,2015,Parts per billion Carbon,0,Rochester NY
Nickel PM10 STP,2005,Nanograms/cubic meter (25 C),0.4,Spokane-Spokane Valley WA
Chromium (TSP) STP,2009,Micrograms/cubic meter (25 C),0,Midland MI
Lead PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Columbia SC
Lead PM2.5 LC,2005,Micrograms/cubic meter (LC),0.007,Cleveland-Elyria OH
Chloroform,2013,Parts per billion Carbon,0,Richmond VA
Chromium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Cleveland-Elyria OH
Lead PM2.5 LC,1996,Micrograms/cubic meter (LC),0.00033,
Formaldehyde,2015,Parts per billion Carbon,1.6,Portland-Vancouver-Hillsboro OR-WA
12-Dichloropropane,2008,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Acrolein - Unverified,2008,Parts per billion Carbon,0.57,Washington-Arlington-Alexandria DC-VA-MD-WV
Arsenic PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Dayton OH
Ethylene dibromide,2010,Parts per billion Carbon,0,McAllen-Edinburg-Mission TX
Cadmium PM2.5 LC,2015,Micrograms/cubic meter (LC),0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chloroform,2010,Parts per billion Carbon,0,Cincinnati OH-KY-IN
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Decatur AL
Lead PM2.5 LC,2010,Micrograms/cubic meter (LC),0.001,Riverside-San Bernardino-Ontario CA
Beryllium PM10 STP,2007,Nanograms/cubic meter (25 C),0,Huntington-Ashland WV-KY-OH
Ethylene dibromide,1999,Parts per billion Carbon,0.12,Miami-Fort Lauderdale-West Palm Beach FL
cis-13-Dichloropropene,2002,Parts per billion Carbon,0.02,El Paso TX
Dichloromethane,2009,Parts per billion Carbon,0.1,Charlotte-Concord-Gastonia NC-SC
Nickel PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Miami-Fort Lauderdale-West Palm Beach FL
Cadmium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Cincinnati OH-KY-IN
Cadmium PM2.5 LC,2003,Micrograms/cubic meter (LC),0.001,Washington-Arlington-Alexandria DC-VA-MD-WV
Vinyl chloride,2007,Parts per billion Carbon,0,
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,2001,Parts per billion Carbon,0,Grand Rapids-Wyoming MI
Acrolein - Unverified,2015,Parts per billion Carbon,0.3,Riverside-San Bernardino-Ontario CA
Dichloromethane,1994,Parts per billion Carbon,0,Midland MI
Cadmium PM2.5 LC,2014,Micrograms/cubic meter (LC),0,St. Louis MO-IL
Acetaldehyde,2005,Parts per billion Carbon,1.2,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Nickel PM2.5 LC,2011,Micrograms/cubic meter (LC),0,
Trichloroethylene,2010,Parts per billion Carbon,0,Houston-The Woodlands-Sugar Land TX
Carbon tetrachloride,2000,Parts per billion Carbon,0.333333,Houston-The Woodlands-Sugar Land TX
Cadmium (TSP) STP,1990,Micrograms/cubic meter (25 C),0,Decatur IL
Vinyl chloride,2014,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Acrolein - Unverified,2014,Parts per billion Carbon,1.3,Beaver Dam WI
Cadmium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Pittsburgh PA
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,2008,Parts per billion Carbon,0,Richmond VA
Carbon tetrachloride,1995,Parts per billion Carbon,0.11,Vallejo-Fairfield CA
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0.001,Asheville NC
Carbon tetrachloride,2006,Parts per billion Carbon,0.09,New Orleans-Metairie LA
Manganese (TSP) STP,2001,Micrograms/cubic meter (25 C),0.034,St. Louis MO-IL
Formaldehyde,2009,Parts per billion Carbon,4.688889,St. Louis MO-IL
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.001,Los Angeles-Long Beach-Anaheim CA
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0.00054,Boston-Cambridge-Newton MA-NH
12-Dichloropropane,2007,Parts per billion Carbon,0,Rome GA
trans-13-Dichloropropene,2001,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Rochester MN
Benzene,2013,Parts per billion Carbon,1.489,Houston-The Woodlands-Sugar Land TX
Manganese PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Albuquerque NM
Trichloroethylene,2004,Parts per billion Carbon,0.01,Dallas-Fort Worth-Arlington TX
Formaldehyde,2005,Parts per billion Carbon,1,Wheeling WV-OH
Chloroform,2006,Parts per billion Carbon,0.01,Dallas-Fort Worth-Arlington TX
Lead PM2.5 LC,1990,Micrograms/cubic meter (LC),0.00101,Elko NV
Manganese PM10 STP,2010,Nanograms/cubic meter (25 C),2.38,Houston-The Woodlands-Sugar Land TX
Chromium (TSP) STP,2005,Micrograms/cubic meter (25 C),0.003,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Lead PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00114,
Arsenic PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Houghton MI
1122-Tetrachloroethane,2013,Parts per billion Carbon,0,Anchorage AK
Manganese PM2.5 LC,2005,Micrograms/cubic meter (LC),0.002,Huntsville AL
Chromium PM2.5 LC,2008,Micrograms/cubic meter (LC),0.242,Las Vegas-Henderson-Paradise NV
Vinyl chloride,2013,Parts per billion Carbon,0,Rochester NY
Cadmium PM2.5 LC,2007,Micrograms/cubic meter (LC),0.004,Fargo ND-MN
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Decatur AL
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0103,San Diego-Carlsbad CA
Benzene,2000,Parts per billion Carbon,1.6,Houston-The Woodlands-Sugar Land TX
Benzene,2016,Parts per billion Carbon,0.42,Dallas-Fort Worth-Arlington TX
Dichloromethane,2009,Parts per billion Carbon,0.2,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Chloroform,2001,Parts per billion Carbon,0.02,Providence-Warwick RI-MA
Benzene,2002,Parts per billion Carbon,2.4,McAllen-Edinburg-Mission TX
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0.00118,Harrison AR
Tetrachloroethylene,2009,Parts per billion Carbon,0.02,San Francisco-Oakland-Hayward CA
Dichloromethane,2016,Parts per billion Carbon,0.1,Terre Haute IN
Chloroform,2010,Parts per billion Carbon,0.02,Minneapolis-St. Paul-Bloomington MN-WI
Tetrachloroethylene,2007,Parts per billion Carbon,0.1,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
Manganese PM2.5 LC,1995,Micrograms/cubic meter (LC),0.00173,Klamath Falls OR
Acetaldehyde,2002,Parts per billion Carbon,1.7,Detroit-Warren-Dearborn MI
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Little Rock-North Little Rock-Conway AR
Benzene,2011,Parts per billion Carbon,1.9,New York-Newark-Jersey City NY-NJ-PA
Ethylene dichloride,1993,Parts per billion Carbon,0.08,Houston-The Woodlands-Sugar Land TX
Acetaldehyde,2007,Parts per billion Carbon,0.6,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2006,Micrograms/cubic meter (LC),0,Bowling Green KY
Ethylene dichloride,2007,Parts per billion Carbon,0,Providence-Warwick RI-MA
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,Payson AZ
Tetrachloroethylene,2015,Parts per billion Carbon,0.2,New York-Newark-Jersey City NY-NJ-PA
13-Butadiene,2004,Parts per billion Carbon,0,Cincinnati OH-KY-IN
Arsenic PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Taos NM
Formaldehyde,2009,Parts per billion Carbon,1.11,Tulsa OK
Chromium (TSP) STP,2004,Micrograms/cubic meter (25 C),0,Charleston-North Charleston SC
Nickel PM10 STP,2009,Nanograms/cubic meter (25 C),0,
Dichloromethane,2003,Parts per billion Carbon,0,Midland MI
Arsenic PM10 STP,2009,Nanograms/cubic meter (25 C),3.1,Detroit-Warren-Dearborn MI
Lead PM10 STP,2016,Micrograms/cubic meter (25 C),0.0039,Huntington-Ashland WV-KY-OH
Nickel PM2.5 LC,2001,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2001,Micrograms/cubic meter (LC),0,Ellensburg WA
Beryllium PM10 STP,1997,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
Acetaldehyde,2001,Parts per billion Carbon,2.8,Jackson MS
Chromium PM2.5 LC,2007,Micrograms/cubic meter (LC),0,Charleston-North Charleston SC
Tetrachloroethylene,1998,Parts per billion Carbon,0.04,Baton Rouge LA
Manganese PM2.5 LC,2003,Micrograms/cubic meter (LC),0.0041,Mobile AL
Chromium (TSP) STP,1996,Micrograms/cubic meter (25 C),0.021,Raleigh NC
Chloroform,2013,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,New York-Newark-Jersey City NY-NJ-PA
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0,
Acrolein - Unverified,2008,Parts per billion Carbon,0,Sault Ste. Marie MI
Chromium PM2.5 LC,2003,Micrograms/cubic meter (LC),0,
1122-Tetrachloroethane,2000,Parts per billion Carbon,0,Sioux Falls SD
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.0121,Pittsburgh PA
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Dickinson ND
Chromium (TSP) STP,1993,Micrograms/cubic meter (25 C),0.006,San Francisco-Oakland-Hayward CA
Arsenic PM2.5 LC,2003,Micrograms/cubic meter (LC),0,New Castle IN
Nickel (TSP) STP,2011,Micrograms/cubic meter (25 C),0.00052,Grand Rapids-Wyoming MI
13-Butadiene,1997,Parts per billion Carbon,0.5,Fresno CA
Acetaldehyde,2000,Parts per billion Carbon,1.6,Springfield MA
Trichloroethylene,2005,Parts per billion Carbon,0,Detroit-Warren-Dearborn MI
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,Gettysburg PA
Dichloromethane,2007,Parts per billion Carbon,0.1,Albany-Schenectady-Troy NY
13-Butadiene,2008,Parts per billion Carbon,0,Cincinnati OH-KY-IN
Nickel PM2.5 LC,1998,Micrograms/cubic meter (LC),0,
Manganese PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Riverside-San Bernardino-Ontario CA
Chromium (TSP) STP,1993,Micrograms/cubic meter (25 C),0,Detroit-Warren-Dearborn MI
Benzene,2016,Parts per billion Carbon,1.4,Chicago-Naperville-Elgin IL-IN-WI
Arsenic (TSP) STP,1995,Micrograms/cubic meter (25 C),0,Chicago-Naperville-Elgin IL-IN-WI
Chromium PM2.5 LC,2009,Micrograms/cubic meter (LC),0,Burlington-South Burlington VT
Tetrachloroethylene,1994,Parts per billion Carbon,0.14,San Francisco-Oakland-Hayward CA
Chromium PM2.5 LC,2011,Micrograms/cubic meter (LC),0,
Ethylene dichloride,2007,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Formaldehyde,2003,Parts per billion Carbon,4.86,Portland-Vancouver-Hillsboro OR-WA
cis-13-Dichloropropene,1999,Parts per billion Carbon,0,New Orleans-Metairie LA
Manganese PM10 STP,2000,Nanograms/cubic meter (25 C),45,Houston-The Woodlands-Sugar Land TX
trans-13-Dichloropropene,2004,Parts per billion Carbon,0.08,Dallas-Fort Worth-Arlington TX
Ethylene dichloride,2005,Parts per billion Carbon,0.1,Portland-Vancouver-Hillsboro OR-WA
Nickel (TSP) STP,2006,Micrograms/cubic meter (25 C),0.0016,Augusta-Richmond County GA-SC
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.001,
Trichloroethylene,2014,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
Benzene,2002,Parts per billion Carbon,1.32,Lancaster PA
Benzene,2013,Parts per billion Carbon,0.519091,Dallas-Fort Worth-Arlington TX
Lead PM2.5 LC,1992,Micrograms/cubic meter (LC),0.00027,
Trichloroethylene,2006,Parts per billion Carbon,0.1,Charlotte-Concord-Gastonia NC-SC
Chromium PM10 STP,1994,Nanograms/cubic meter (25 C),0,Kansas City MO-KS
Dichloromethane,2009,Parts per billion Carbon,0.128,Tampa-St. Petersburg-Clearwater FL
Trichloroethylene,2009,Parts per billion Carbon,0,Seattle-Tacoma-Bellevue WA
Cadmium PM2.5 LC,2005,Micrograms/cubic meter (LC),0,Columbus GA-AL
Ethylene dibromide,2001,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Ethylene dibromide,2012,Parts per billion Carbon,0,Napa CA
Manganese PM2.5 LC,2013,Micrograms/cubic meter (LC),0,Yakima WA
Benzene,2004,Parts per billion Carbon,1.02,Dallas-Fort Worth-Arlington TX
12-Dichloropropane,2012,Parts per billion Carbon,0.15,Houston-The Woodlands-Sugar Land TX
Dichloromethane,2009,Parts per billion Carbon,0.086,Providence-Warwick RI-MA
Nickel PM2.5 LC,1994,Micrograms/cubic meter (LC),0.00038,Atlantic City-Hammonton NJ
Chromium PM2.5 LC,2005,Micrograms/cubic meter (LC),0.001,Oklahoma City OK
Nickel PM2.5 LC,2003,Micrograms/cubic meter (LC),0,Bismarck ND
12-Dichloropropane,1999,Parts per billion Carbon,0,Monroe LA
Arsenic (TSP) STP,1994,Micrograms/cubic meter (25 C),0,Dodge City KS
Lead PM10 STP,2004,Micrograms/cubic meter (25 C),0.0213,Portland-Vancouver-Hillsboro OR-WA
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Roanoke VA
Chromium PM2.5 LC,1995,Micrograms/cubic meter (LC),0.00581,Knoxville TN
Vinyl chloride,1999,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
13-Butadiene,2009,Parts per billion Carbon,0.168182,Odessa TX
Manganese PM2.5 LC,2009,Micrograms/cubic meter (LC),0.002,Ponca City OK
Arsenic PM2.5 LC,2000,Micrograms/cubic meter (LC),0,San Jose-Sunnyvale-Santa Clara CA
Manganese PM10 STP,1990,Nanograms/cubic meter (25 C),10,Kansas City MO-KS
Benzene,2004,Parts per billion Carbon,3.48,Laredo TX
Lead PM2.5 LC,2000,Micrograms/cubic meter (LC),0.00058,
Benzene,2000,Parts per billion Carbon,1.5,Baton Rouge LA
Chloroform,1998,Parts per billion Carbon,0,Burlington-South Burlington VT
12-Dichloropropane,2009,Parts per billion Carbon,0,Buffalo-Cheektowaga-Niagara Falls NY
Manganese PM2.5 LC,2006,Micrograms/cubic meter (LC),0.0036,New Haven-Milford CT
Carbon tetrachloride,2013,Parts per billion Carbon,0.08,Sacramento--Roseville--Arden-Arcade CA
Nickel PM2.5 LC,2004,Micrograms/cubic meter (LC),0,
Lead PM2.5 LC,2015,Micrograms/cubic meter (LC),0.002,Tallahassee FL
Ethylene dibromide,2003,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
Manganese PM2.5 LC,2010,Micrograms/cubic meter (LC),0.002,Phoenix-Mesa-Scottsdale AZ
Formaldehyde,2011,Parts per billion Carbon,6.2453,Columbia SC
12-Dichloropropane,2012,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,1999,Micrograms/cubic meter (LC),0,
Cadmium (TSP) STP,2011,Micrograms/cubic meter (25 C),0,Knoxville TN
Carbon tetrachloride,2002,Parts per billion Carbon,0.1,Providence-Warwick RI-MA
Manganese PM10 STP,1994,Nanograms/cubic meter (25 C),7,Kansas City MO-KS
trans-13-Dichloropropene,2008,Parts per billion Carbon,0.2,Wilmington NC
Ethylene dichloride,2010,Parts per billion Carbon,0.03,Miami-Fort Lauderdale-West Palm Beach FL
Formaldehyde,1999,Parts per billion Carbon,1.9,Pittsburgh PA
Benzene,2006,Parts per billion Carbon,0.84,Atlanta-Sandy Springs-Roswell GA
13-Butadiene,2009,Parts per billion Carbon,0.32,Sacramento--Roseville--Arden-Arcade CA
13-Butadiene,2013,Parts per billion Carbon,0.356,San Diego-Carlsbad CA
Benzene,2012,Parts per billion Carbon,4.92,Detroit-Warren-Dearborn MI
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0,Minneapolis-St. Paul-Bloomington MN-WI
Lead PM2.5 LC,2009,Micrograms/cubic meter (LC),0.0069,Lancaster PA
Formaldehyde,2004,Parts per billion Carbon,5.48,Houston-The Woodlands-Sugar Land TX
Ethylene dichloride,1990,Parts per billion Carbon,0,San Francisco-Oakland-Hayward CA
Beryllium PM10 STP,2010,Nanograms/cubic meter (25 C),0,Eugene OR
Carbon tetrachloride,1998,Parts per billion Carbon,0,McAllen-Edinburg-Mission TX
13-Butadiene,2013,Parts per billion Carbon,0.3,New York-Newark-Jersey City NY-NJ-PA
1122-Tetrachloroethane,2015,Parts per billion Carbon,0,Dallas-Fort Worth-Arlington TX
12-Dichloropropane,2001,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
1122-Tetrachloroethane,1997,Parts per billion Carbon,0.03,
Lead PM2.5 LC,2007,Micrograms/cubic meter (LC),0.001,Portland-Vancouver-Hillsboro OR-WA
Chloroform,1998,Parts per billion Carbon,0,Midland MI
Chloroform,2010,Parts per billion Carbon,0.03,Riverside-San Bernardino-Ontario CA
Lead PM2.5 LC,2004,Micrograms/cubic meter (LC),0.003,Lancaster PA
Ethylene dichloride,2003,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,2000,Micrograms/cubic meter (LC),0.00127,
Benzene,1992,Parts per billion Carbon,3.6,San Francisco-Oakland-Hayward CA
Ethylene dibromide,2010,Parts per billion Carbon,0,Chicago-Naperville-Elgin IL-IN-WI
Manganese PM2.5 LC,1998,Micrograms/cubic meter (LC),0,Homosassa Springs FL
Lead PM2.5 LC,2011,Micrograms/cubic meter (LC),0.001,San Francisco-Oakland-Hayward CA
Chloroform,2007,Parts per billion Carbon,0.01,Houston-The Woodlands-Sugar Land TX
Nickel PM2.5 LC,2012,Micrograms/cubic meter (LC),0,Los Angeles-Long Beach-Anaheim CA
Lead PM2.5 LC,2014,Micrograms/cubic meter (LC),0.001,Green Bay WI
cis-13-Dichloropropene,2004,Parts per billion Carbon,0,Dover DE
13-Butadiene,1997,Parts per billion Carbon,1.788889,El Paso TX
1122-Tetrachloroethane,2011,Parts per billion Carbon,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD
1122-Tetrachloroethane,2010,Parts per billion Carbon,0,Tampa-St. Petersburg-Clearwater FL
Vinyl chloride,2016,Parts per billion Carbon,0,Baltimore-Columbia-Towson MD
Chromium PM2.5 LC,2013,Micrograms/cubic meter (LC),0.003,Cincinnati OH-KY-IN
Cadmium PM2.5 LC,2004,Micrograms/cubic meter (LC),0,
Cadmium PM2.5 LC,2008,Micrograms/cubic meter (LC),0,Kansas City MO-KS
trans-13-Dichloropropene,2002,Parts per billion Carbon,0,Minneapolis-St. Paul-Bloomington MN-WI
13-Butadiene,2003,Parts per billion Carbon,0,San Juan-Carolina-Caguas PR
Acetaldehyde,2006,Parts per billion Carbon,2.1,Milwaukee-Waukesha-West Allis WI
13-Butadiene,2010,Parts per billion Carbon,0.4,Baltimore-Columbia-Towson MD
Acrolein - Unverified,2007,Parts per billion Carbon,0.4,Buffalo-Cheektowaga-Niagara Falls NY
Trichloroethylene,2012,Parts per billion Carbon,0,New York-Newark-Jersey City NY-NJ-PA
Lead PM2.5 LC,1995,Micrograms/cubic meter (LC),0.00033,Seattle-Tacoma-Bellevue WA
Arsenic PM2.5 LC,2014,Micrograms/cubic meter (LC),0,Helena MT
Carbon tetrachloride,2008,Parts per billion Carbon,0.08,Boston-Cambridge-Newton MA-NH
Lead PM2.5 LC,2006,Micrograms/cubic meter (LC),0.002,
13-Butadiene,2007,Parts per billion Carbon,0.4,Houston-The Woodlands-Sugar Land TX
Chloroform,1992,Parts per billion Carbon,56.25,Chicago-Naperville-Elgin IL-IN-WI
Nickel (TSP) STP,2016,Micrograms/cubic meter (25 C),0.002,Fresno CA
Nickel PM2.5 LC,1997,Micrograms/cubic meter (LC),0,Asheville NC
